car_name,base_price,total_price,model_year,distance,inspection_remaining_month,repair,recycle,one_owner,record_book,new_car,no_smoke,registered,legally_imported,demo_car,rental_car,eco_car,legal_maintenance,camping,welfare,point,body_type,drive_type,color,right_handle,transmission,displacement,member,engine_type_gasoline,door_number,power_steering,abs,safety_support,auto_brake,adaptive_cruise,lane_keep,park_assist,accelerator_safe,obstacle_sensor,air_bag,air_bag_運転席,air_bag_助手席,air_bag_サイド,air_bag_カーテン,neck_rest,360_camera,camera,camera_フロント,camera_サイド,camera_バック,monitor,monitor_ブラインドスポット,monitor_リアトラフィック,esp,hill_descent,idle_stop,anti_theft,auto_high_beam,turbo,ac_cool,double_ac,navi,tv,vid_player,vid_player_DVD,vid_player_ブルーレイ,audio_player,audio_player_CD,audio_player_MD,audio_player_ミュージックサーバー,music_player_plugin,etc,air_sus,1500w,drive_rec,disp_audio,cold_region,keyless,smart_key,power_window,backseat_monitor,bench_seat,3rd_row,walk_through,power_seat,seat_ac,seat_heater,fullflat_seat,ottoman,leather_seat,halogen_headlight,headlight_type,front_fog,sunroof,roof_rail,full_aero,alumi_wheel,low_down,lift_up,slide_door,all_paint,Prefecture,City,guarantee_exists,guarantee_type,url
318i Mスポーツ　ナビBカメACCコンフォートP禁煙1オナ （ブラックサファイア）,3480000,3757000,2023,4000,30.0,1,リ済別,1,1,0,0,0,1,1,0,0,1,0,0,0.0,セダン,2WD,黒Ｍ,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,,0,0,1,,1,1,1,0,1,1,1,1,1,0,1,0,,0,0,,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,LED、アダプティブ,0,0,0,0,1,0,0,0,0,愛知県,名古屋・知多,1,1.0,https://www.carsensor.net/usedcar/detail/AU3443678106/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320d xドライブ Mスポーツ ディーゼルターボ 4WD　18AWコンフォ-トPシ-トヒ-タ-ACC禁煙認定車 （ブラックサファイア）,4680000,4850000,2023,12000,29.0,0,リ済別,0,1,0,1,0,1,0,0,1,1,0,0,4.5,セダン,4WD,黒Ｍ,1.0,フロアMTモード付8AT,2000,5,0,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,0,,0,0,1,,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,LED,1,0,0,1,1,0,0,0,0,岐阜県,,1,1.0,https://www.carsensor.net/usedcar/detail/AU2832583163/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
330e Mスポーツ　ハイラインP　コンフォートP　アップルCP （アルピンホワイト）,4180000,4392000,2022,6000,28.0,0,リ済別,1,1,0,1,0,1,0,0,0,1,0,0,5.0,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,2,4,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,,0,0,1,,1,1,1,0,1,1,1,1,1,0,1,0,,0,0,,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED、アダプティブ,1,0,0,0,1,0,0,0,0,静岡県,静岡西部,1,1.0,https://www.carsensor.net/usedcar/detail/AU3432282870/index.html?TRCD=200002&RESTID=CS210610
320i xドライブ ラグジュアリー 4WD　革シート 純正ナビ Bカメラ 冬タイヤAW有 （レッド）,910000,1010000,2013,63000,7.0,0,リ済別,0,0,0,0,0,1,0,0,0,1,0,0,4.0,セダン,4WD,赤,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,0,0,0,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,ディスチャージド,1,0,0,0,1,0,0,0,0,北海道,函館・道南,1,,https://www.carsensor.net/usedcar/detail/AU2712405590/index.html?TRCD=200002&RESTID=CS210610
320i ラグジュアリー　レザーシート/走行1.1万キロ/純正ナビ/BT （ダークブルー）,950000,1239000,2012,11000,24.0,0,リ済別,0,1,0,1,0,1,0,0,0,1,0,0,4.5,セダン,2WD,紺,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,0,0,0,0,0,1,,1,1,1,0,0,0,,0,0,1,,0,0,1,0,1,1,1,1,1,0,1,1,,1,0,,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,ディスチャージド,1,0,0,0,1,0,0,0,0,宮城県,,1,0.0,https://www.carsensor.net/usedcar/detail/AU2924840554/index.html?TRCD=200002&RESTID=CS210610
320i Mスポーツ　ハイラインPコンフォートPブラックレザー （ポルティマオブルー）,3070000,3258000,2020,16000,1.0,0,リ済別,0,1,0,0,0,1,0,0,0,1,0,0,4.0,セダン,2WD,青,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,1,0,1,,1,1,1,1,0,1,,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,0,,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,LED、アダプティブ,1,0,0,1,1,0,0,0,0,大阪府,大阪北部,1,1.0,https://www.carsensor.net/usedcar/detail/AU0382241558/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
330e Mスポーツ　全周囲カメラ 電動トランク シートヒータ （ミネラルホワイト）,4080000,4277000,2022,11000,25.0,0,リ済別,0,1,0,1,0,1,0,0,0,1,0,0,5.0,セダン,2WD,白真珠,1.0,フロアMTモード付8AT,2000,5,2,4,1,1,0,1,1,0,0,0,1,,1,1,1,1,0,1,,1,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,0,0,,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,LED,1,0,0,1,1,0,0,0,0,大阪府,大阪北部,1,1.0,https://www.carsensor.net/usedcar/detail/AU3193278737/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
330e ラグジュアリー　正規認定中古車下取車茶革フルセグTV （ミネラルホワイト）,1899000,2099000,2018,55000,1.0,0,リ済別,1,1,0,0,0,1,0,0,0,1,0,0,4.5,セダン,2WD,白,1.0,フロアMTモード付8AT,2000,5,2,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,1,1,1,,1,0,,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED,1,0,0,0,1,0,0,0,0,茨城県,,1,1.0,https://www.carsensor.net/usedcar/detail/AU2987142809/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
320i Mスポーツ　社外マフラー(ノーマル有)/ナビ/Bカメラ （ブラック）,998000,1135000,2012,48000,4.0,0,リ済別,1,0,0,1,0,1,0,0,0,0,0,0,4.5,セダン,2WD,黒,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,0,0,0,0,0,0,,1,1,1,0,0,0,,0,0,1,,0,0,1,0,0,1,0,1,1,0,1,0,,0,0,,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,ディスチャージド,1,0,0,0,1,1,0,0,0,大阪府,大阪東部,1,0.0,https://www.carsensor.net/usedcar/detail/AU3087681606/index.html?TRCD=200002&RESTID=CS210610
320i ラグジュアリー　ナビBカメ黒革ACCドラレコ禁煙ワンオナ （アルピンホワイト）,1290000,1477000,2016,47000,22.0,0,リ済別,1,1,0,1,0,1,0,0,0,1,0,0,4.0,セダン,2WD,白白,1.0,フロアMTモード付8AT,2000,5,1,4,1,1,0,1,1,1,0,0,1,,1,1,1,1,0,0,,0,0,1,,0,0,1,0,1,1,0,1,1,0,1,0,,1,0,,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,LED,1,0,0,0,1,0,0,0,0,愛知県,名古屋・知多,1,1.0,https://www.carsensor.net/usedcar/detail/AU3304014105/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
